,Cluster Labels,Neighborhood,Borough,1st Common,2nd Common,3rd Common,4th Common,5th Common,6th Common,7th Common,8th Common,9th Common,10th Common,Latitude,Longitude
0,6,Adelaide,Downtown Toronto,Coffee Shop,Café,Bar,Steakhouse,Cosmetics Shop,Thai Restaurant,Burger Joint,Restaurant,Hotel,American Restaurant,43.65057120000001,-79.3845675
1,16,Agincourt,Scarborough,Breakfast Spot,Lounge,Skating Rink,Clothing Store,Yoga Studio,Eastern European Restaurant,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.7942003,-79.26202940000002
2,8,Agincourt North,Scarborough,Playground,Park,Yoga Studio,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.8152522,-79.2845772
3,17,Albion Gardens,Etobicoke,Grocery Store,Pharmacy,Fried Chicken Joint,Pizza Place,Coffee Shop,Discount Store,Sandwich Place,Beer Store,Japanese Restaurant,Fast Food Restaurant,43.7394164,-79.5884369
4,16,Alderwood,Etobicoke,Pizza Place,Pharmacy,Coffee Shop,Sandwich Place,Pub,Skating Rink,Pool,Gym,Eastern European Restaurant,Dumpling Restaurant,43.60241370000001,-79.54348409999999
5,6,Bathurst Manor,North York,Coffee Shop,Pet Store,Fast Food Restaurant,Sushi Restaurant,Deli / Bodega,Middle Eastern Restaurant,Restaurant,Fried Chicken Joint,Frozen Yogurt Shop,Diner,43.7543283,-79.4422593
6,13,Bathurst Quay,Downtown Toronto,Airport Terminal,Airport Lounge,Harbor / Marina,Airport Service,Coffee Shop,Sculpture Garden,Boat or Ferry,Boutique,Airport Gate,Airport,43.6289467,-79.3944199
7,16,Bayview Village,North York,Café,Chinese Restaurant,Bank,Japanese Restaurant,Event Space,Ethiopian Restaurant,Empanada Restaurant,Electronics Store,Eastern European Restaurant,Diner,43.7869473,-79.385975
8,17,Beaumond Heights,Etobicoke,Grocery Store,Pharmacy,Fried Chicken Joint,Pizza Place,Coffee Shop,Discount Store,Sandwich Place,Beer Store,Japanese Restaurant,Fast Food Restaurant,43.7394164,-79.5884369
9,6,Bedford Park,North York,Coffee Shop,Italian Restaurant,Greek Restaurant,Indian Restaurant,Grocery Store,Pharmacy,Pizza Place,Pub,Café,Restaurant,43.7332825,-79.4197497
10,6,Berczy Park,Downtown Toronto,Coffee Shop,Cocktail Bar,Farmers Market,Steakhouse,Bakery,Seafood Restaurant,Café,Cheese Shop,Beer Bar,Jazz Club,43.6447708,-79.3733064
11,16,Birch Cliff,Scarborough,College Stadium,Skating Rink,General Entertainment,Café,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,43.692657,-79.2648481
12,16,Bloordale Gardens,Etobicoke,Pharmacy,Beer Store,Pizza Place,Coffee Shop,Convenience Store,Café,Shopping Plaza,Liquor Store,Park,General Travel,43.6435152,-79.57720079999999
13,16,Brockton,West Toronto,Coffee Shop,Breakfast Spot,Café,Performing Arts Venue,Yoga Studio,Stadium,Burrito Place,Restaurant,Caribbean Restaurant,Climbing Gym,43.6368472,-79.42819140000002
14,16,Business Reply Mail Processing Centre 969 Eastern,East Toronto,Light Rail Station,Yoga Studio,Garden,Smoke Shop,Farmers Market,Fast Food Restaurant,Spa,Burrito Place,Restaurant,Recording Studio,43.6627439,-79.321558
15,18,CFB Toronto,North York,Airport,Park,Yoga Studio,Eastern European Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,43.7374732,-79.46476329999999
16,13,CN Tower,Downtown Toronto,Airport Terminal,Airport Lounge,Harbor / Marina,Airport Service,Coffee Shop,Sculpture Garden,Boat or Ferry,Boutique,Airport Gate,Airport,43.6289467,-79.3944199
17,16,Cabbagetown,Downtown Toronto,Coffee Shop,Restaurant,Park,Bakery,Café,Pub,Pizza Place,Italian Restaurant,Breakfast Spot,Deli / Bodega,43.667967,-79.3676753
18,0,Caledonia-Fairbanks,York,Park,Women's Store,Fast Food Restaurant,Market,Comic Shop,Concert Hall,Farmers Market,Falafel Restaurant,Event Space,Ethiopian Restaurant,43.6890256,-79.453512
19,6,Canada Post Gateway Processing Centre,Mississauga,Coffee Shop,Hotel,Burrito Place,Sandwich Place,Middle Eastern Restaurant,American Restaurant,Fried Chicken Joint,Mediterranean Restaurant,Gym / Fitness Center,Eastern European Restaurant,43.6369656,-79.61581899999999
20,16,Cedarbrae,Scarborough,Hakka Restaurant,Bakery,Bank,Athletics & Sports,Caribbean Restaurant,Thai Restaurant,Fried Chicken Joint,Yoga Studio,Donut Shop,Dog Run,43.773136,-79.23947609999998
21,6,Central Bay Street,Downtown Toronto,Coffee Shop,Café,Italian Restaurant,Sandwich Place,Ice Cream Shop,Burger Joint,Chinese Restaurant,Indian Restaurant,Bubble Tea Shop,Middle Eastern Restaurant,43.6579524,-79.3873826
22,16,Chinatown,Downtown Toronto,Café,Vegetarian / Vegan Restaurant,Chinese Restaurant,Bar,Dumpling Restaurant,Mexican Restaurant,Vietnamese Restaurant,Bakery,Coffee Shop,Farmers Market,43.6532057,-79.4000493
23,16,Christie,Downtown Toronto,Café,Grocery Store,Park,Nightclub,Diner,Italian Restaurant,Baby Store,Athletics & Sports,Restaurant,Coffee Shop,43.669542,-79.4225637
24,6,Church and Wellesley,Downtown Toronto,Coffee Shop,Japanese Restaurant,Sushi Restaurant,Gay Bar,Restaurant,Hotel,Gastropub,Fast Food Restaurant,Mediterranean Restaurant,Dance Studio,43.6658599,-79.38315990000002
25,11,Clairlea,Scarborough,Bakery,Fast Food Restaurant,Metro Station,Bus Line,Soccer Field,Park,Concert Hall,Dog Run,Falafel Restaurant,Event Space,43.7111117,-79.2845772
26,16,Clarks Corners,Scarborough,Pizza Place,Pharmacy,Thai Restaurant,Noodle House,Chinese Restaurant,Breakfast Spot,Bank,Italian Restaurant,Fried Chicken Joint,Fast Food Restaurant,43.7816375,-79.3043021
27,4,Cliffcrest,Scarborough,American Restaurant,Motel,Dim Sum Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Yoga Studio,43.716316,-79.23947609999998
28,4,Cliffside,Scarborough,American Restaurant,Motel,Dim Sum Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Yoga Studio,43.716316,-79.23947609999998
29,16,Cliffside West,Scarborough,College Stadium,Skating Rink,General Entertainment,Café,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,43.692657,-79.2648481
30,2,Cloverdale,Etobicoke,Bank,Yoga Studio,Eastern European Restaurant,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Electronics Store,Diner,43.6509432,-79.55472440000001
31,6,Commerce Court,Downtown Toronto,Coffee Shop,Café,Hotel,Restaurant,American Restaurant,Italian Restaurant,Gastropub,Deli / Bodega,Steakhouse,Gym,43.6481985,-79.37981690000002
32,16,Davisville,Central Toronto,Dessert Shop,Sandwich Place,Coffee Shop,Thai Restaurant,Italian Restaurant,Pizza Place,Café,Restaurant,Sushi Restaurant,Gym,43.7043244,-79.3887901
33,16,Davisville North,Central Toronto,Breakfast Spot,Clothing Store,Restaurant,Food & Drink Shop,Sandwich Place,Hotel,Grocery Store,Gym,Park,Empanada Restaurant,43.7127511,-79.3901975
34,14,Deer Park,Central Toronto,Coffee Shop,Pub,American Restaurant,Bagel Shop,Restaurant,Fried Chicken Joint,Sports Bar,Supermarket,Sushi Restaurant,Pizza Place,43.68641229999999,-79.4000493
35,20,Del Ray,York,Discount Store,Restaurant,Sandwich Place,Bar,Convenience Store,Yoga Studio,Drugstore,Dog Run,Doner Restaurant,Donut Shop,43.6911158,-79.47601329999998
36,6,Design Exchange,Downtown Toronto,Coffee Shop,Café,Hotel,Restaurant,Gastropub,Bar,Bakery,American Restaurant,Italian Restaurant,Deli / Bodega,43.6471768,-79.38157640000001
